0,2.05,61500,2.9285347512832565,150261.70153225478
1,1.5,87000,3.153944898227081,279145.1235468748
2,2.8,542300,3.27028085064651,691016.4976322924
3,1.3,76450,2.754899940870907,238533.7833294766
4,164500,1052450,286346.5879333166,1875012.5746946759
5,25150,130150,68573.64462271277,345757.79094620555
6,24100,381750,46980.28701935581,806280.209552355
7,29550,453250,55866.82943911304,943589.8905663134
8,69000,307200,110209.84768302599,575206.5624396893
9,24200,337650,30074.643980042652,578137.8705537469
10,17900,326350,42966.20458967845,901789.9904313117
11,14250,380100,33050.00199060429,796885.2456513686
12,83950,534850,160364.54359397924,1112504.1584783308
13,24500,150050,47136.42015748712,393756.06595160434
14,10500,0,16478.055582788696,0.0
15,54100,799350,169231.35829856992,1811960.3595931237
16,15750,298150,21078.48741202621,459313.7071533435
17,57900,695200,99912.01392383095,1190766.4758465448
18,23150,266700,33809.48948072668,434329.74376133794
19,4600,117250,6508.294303182832,367616.63025780715
20,20850,266300,25682.832685216836,457202.834176416
